label,value,actual,med
1983,-1.29,71.14,0
1984,-1.03,71.4,0
1985,1.43,73.86,0
1986,0.43,72.86,0
1987,-2.19,70.24,0
1988,-2.13,70.3,0
1989,-0.27,72.16,0
1990,0.04,72.47,0
1991,1.45,73.88,0
1992,-1.48,70.95,0
1993,-1.47,70.96,0
1994,0.95,73.38,0
1995,0.92,73.34,0
1996,-1.06,71.37,0
1997,-0.28,72.15,0
1998,0.61,73.04,0
1999,0.96,73.39,0
2000,-1.92,70.51,0
2001,-1.27,71.16,0
2002,2.15,74.58,0
2003,1.04,73.47,0
2004,-0.44,71.98,0
2005,-1.97,70.46,0
2006,-0.72,71.71,0
2007,-0.28,72.15,0
2008,-1.02,71.41,0
2009,-0.08,72.35,0
2010,-2.18,70.25,0
2011,-0.84,71.59,0
2012,0.73,73.16,0
2013,-0.6,71.83,0
2014,-1.73,70.7,0
2015,2.41,74.84,0
2016,0.71,73.14,0
2017,0.47,72.9,0
2018,0.6,73.03,0
2019,2.71,75.14,0
2020,2.03,74.46,0
2021,0.69,73.12,0
2022,0.79,73.22,0
