label,value,actual,med
1983,-1,76.2,0
1984,-0.9,76.3,0
1985,0.3,77.5,0
1986,0.8,78,0
1987,-0.8,76.4,0
1988,-0.8,76.4,0
1989,-0.1,77.1,0
1990,-0.5,76.7,0
1991,0.4,77.6,0
1992,-1.05,76.15,0
1993,-0.2,77,0
1994,0.8,78,0
1995,1.2,78.4,0
1996,-0.2,77,0
1997,0.4,77.6,0
1998,0,77.2,1
1999,-1.2,76,0
2000,-2.25,74.95,0
2001,-1.5,75.7,0
2002,0.3,77.5,0
2003,1.7,78.9,0
2004,-0.8,76.4,0
2005,-0.6,76.6,0
2006,-1.4,75.8,0
2007,-0.8,76.4,0
2008,-1.25,75.95,0
2009,0.4,77.6,0
2010,-0.6,76.6,0
2011,-0.5,76.7,0
2012,-0.4,76.8,0
2013,0.6,77.8,0
2014,-0.4,76.8,0
2015,1.7,78.9,0
2016,0.6,77.8,0
2017,0.1,77.3,0
2018,0.6,77.8,0
2019,2.1,79.3,0
2020,2.1,79.3,0
2021,1,78.2,0
2022,1.1,78.3,0
