COUNTY,LONG,LAT,ELEV,DATE,RAINFALL,TMIN,TMEAN,TMAX,TDMEAN,VPDMIN,VPDMAX,MONTH_YEAR,YEAR,MONTH_YEAR_STR,YEAR_STR,TMIN_INDEX,TMAX_INDEX,TMEAN_INDEX,REL_HUMIDITY
Miami-Dade,-80.5684,25.6148,7,2018-01-01,0,56.4,64.8,73.1,57,0.29,13.55,2018-01,2018,2018-01,2018,55.9,73.4,64.7,75.9
Miami-Dade,-80.5684,25.6148,7,2018-01-02,0.09,54.3,65.9,77.6,60,0.06,13.65,2018-01,2018,2018-01,2018,53.8,78.2,66,81.3
Miami-Dade,-80.5684,25.6148,7,2018-01-03,0.11,56.3,61.9,67.4,61.8,0.02,1.67,2018-01,2018,2018-01,2018,56.3,68,62.2,99.6
Miami-Dade,-80.5684,25.6148,7,2018-01-04,0.02,44.3,53.8,63.3,48.6,0.12,4.74,2018-01,2018,2018-01,2018,43.3,63.3,53.3,82.5
Miami-Dade,-80.5684,25.6148,7,2018-01-05,0,43.3,51.6,59.9,38.3,1.63,9.26,2018-01,2018,2018-01,2018,41.7,59.2,50.4,60.3
Miami-Dade,-80.5684,25.6148,7,2018-01-06,0,45.1,52.2,59.3,35.4,2.22,11.13,2018-01,2018,2018-01,2018,43.4,58.4,50.9,52.6
Miami-Dade,-80.5684,25.6148,7,2018-01-07,0,49.1,57.8,66.5,45.1,0.61,10.87,2018-01,2018,2018-01,2018,47.9,66.1,57,62.6
Miami-Dade,-80.5684,25.6148,7,2018-01-08,0,50.8,60.7,70.6,54.7,0.27,12.7,2018-01,2018,2018-01,2018,50.1,70.9,60.5,80.6
Miami-Dade,-80.5684,25.6148,7,2018-01-09,0.13,58.9,67.3,75.6,65.7,0.05,8.72,2018-01,2018,2018-01,2018,58.9,76.5,67.7,94.6
Miami-Dade,-80.5684,25.6148,7,2018-01-10,0.04,64.4,70.4,76.4,67.4,0.04,6.03,2018-01,2018,2018-01,2018,64.6,77.2,70.9,90.2
Miami-Dade,-80.5684,25.6148,7,2018-01-11,0,65.1,71.1,77.1,67.8,0.13,8.12,2018-01,2018,2018-01,2018,65.3,77.9,71.6,89.3
Miami-Dade,-80.5684,25.6148,7,2018-01-12,0.15,65.6,73.2,80.8,69.1,0.02,11.58,2018-01,2018,2018-01,2018,65.8,87.5,73.8,87
Miami-Dade,-80.5684,25.6148,7,2018-01-13,0.07,66.3,73.4,80.5,70.3,0.33,9.33,2018-01,2018,2018-01,2018,66.6,87.7,74,90.1
Miami-Dade,-80.5684,25.6148,7,2018-01-14,0,50.6,62.8,75,54.3,0.58,13.16,2018-01,2018,2018-01,2018,49.7,75.3,62.5,73.8
Miami-Dade,-80.5684,25.6148,7,2018-01-15,0,51.7,60.6,69.5,53.4,0.41,8.38,2018-01,2018,2018-01,2018,50.9,69.6,60.3,77.1
Miami-Dade,-80.5684,25.6148,7,2018-01-16,0,53.6,63,72.3,57.7,0.42,7.86,2018-01,2018,2018-01,2018,53.1,72.7,62.9,82.8
Miami-Dade,-80.5684,25.6148,7,2018-01-17,0,58.4,66.4,74.4,55.6,0.91,13.62,2018-01,2018,2018-01,2018,57.8,74.6,66.2,68.2
Miami-Dade,-80.5684,25.6148,7,2018-01-18,0,44.3,57.5,70.7,49.7,1.16,11.49,2018-01,2018,2018-01,2018,43.1,70.9,57,75.2
Miami-Dade,-80.5684,25.6148,7,2018-01-19,0,43.5,51.6,59.6,42.9,0.71,7.01,2018-01,2018,2018-01,2018,42.2,59.1,50.7,72.1
Miami-Dade,-80.5684,25.6148,7,2018-01-20,0,48.5,59.4,70.2,53.7,0.48,10.16,2018-01,2018,2018-01,2018,47.7,70.5,59.1,81.4
